fio,fr_8,vote
Береза Юрий Николаевич,"Фракция ""Народный фронт""",1
Березенко Сергей Иванович,"Фракция ""Блок Петра Порошенко""",1
Березкин Станислав Семенович,Депутатская группа партии Возрождение,1
Березюк Олег Романович,"Фракция ""Объединение Самопомощь""",1
Бобов Геннадий Борисович,Депутатская группа партии Возрождение,2
Богдан Руслан Дмитриевич,"Фракция ""ВО Батькивщина""",1
Богомолец Ольга Вадимовна,"Фракция ""Блок Петра Порошенко""",3
Богуслаев Вячеслав Александрович,"Депутатская группа ""Воля народа""",3
Бойко Елена Петровна,"Фракция ""Народный фронт""",1
Бойко Юрий Анатольевич,"Фракция ""Оппозиционный блок""",3
Бондарь Виктор Васильевич,Депутатская группа партии Возрождение,2
Бондарь Михаил Леонтьевич,"Фракция ""Народный фронт""",1
Брензович Василий Иванович,"Фракция ""Блок Петра Порошенко""",1
Бригинец Александр Михайлович,"Фракция ""Блок Петра Порошенко""",2
Бриченко Игорь Витальевич,"Фракция ""Народный фронт""",1
Бублик Юрий Васильевич,Вне фракции,2
Буглак Юрий Александрович,"Фракция ""Блок Петра Порошенко""",3
Бурбак Максим Юрьевич,"Фракция ""Народный фронт""",1
Бухарев Владислав Викторович,"Фракция ""ВО Батькивщина""",1
Белькова Ольга Валентиновна,"Фракция ""Блок Петра Порошенко""",3
Билецкий Андрей Евгеньевич,Вне фракции,3
Белый Алексей Петрович,"Фракция ""Оппозиционный блок""",3
Беловол Александр Николаевич,Депутатская группа партии Возрождение,3
Билозир Оксана Владимировна,"Фракция ""Блок Петра Порошенко""",1
Белоцерковец Дмитрий Александрович,"Фракция ""Блок Петра Порошенко""",2
Вадатурский Андрей Алексеевич,"Фракция ""Блок Петра Порошенко""",1
Валентиров Сергей Васильевич,"Фракция ""Блок Петра Порошенко""",3
Васюник Игорь Васильевич,"Фракция ""Народный фронт""",1
Величкович Николай Романович,"Фракция ""Народный фронт""",1
Великин Олег Маркович,"Фракция ""Блок Петра Порошенко""",1
Веселова Наталья Васильевна,"Фракция ""Объединение Самопомощь""",1
Высоцкий Сергей Витальевич,"Фракция ""Народный фронт""",1
Власенко Сергей Владимирович,"Фракция ""ВО Батькивщина""",3
Вовк Виктор Иванович,"Фракция ""Радикальная Партия Олега Ляшко""",1
Вознюк Юрий Владимирович,"Фракция ""Народный фронт""",1
Войцеховская Светлана Михайловна,"Фракция ""Народный фронт""",1
Войцицкая Виктория Михайловна,"Фракция ""Объединение Самопомощь""",1
Воропаев Юрий Николаевич,"Фракция ""Оппозиционный блок""",3
Вилкул Александр Юрьевич,"Фракция ""Оппозиционный блок""",3
Винник Иван Юльевич,"Фракция ""Блок Петра Порошенко""",1
Витко Артем Леонидович,"Фракция ""Радикальная Партия Олега Ляшко""",1
Гаврилюк Михаил Витальевич,"Фракция ""Народный фронт""",1
Галасюк Виктор Валерьевич,"Фракция ""Радикальная Партия Олега Ляшко""",1
Гальченко Андрей Владимирович,"Фракция ""Оппозиционный блок""",3
Герасимов Артур Владимирович,"Фракция ""Блок Петра Порошенко""",3
Геращенко Ирина Владимировна,Вне фракции,2
Геращенко Антон Юрьевич,"Фракция ""Народный фронт""",2
Герега Александр Владимирович,Вне фракции,3
Головко Михаил Иосифович,Вне фракции,2
Голуб Владислав Владимирович,Вне фракции,1
Голубов Дмитрий Иванович,"Фракция ""Блок Петра Порошенко""",3
Гончаренко Алексей Алексеевич,"Фракция ""Блок Петра Порошенко""",3
Гопко Анна Николаевна,Вне фракции,1
Горбунов Александр Владимирович,"Фракция ""Народный фронт""",1
Горват Роберт Иванович,"Фракция ""Блок Петра Порошенко""",1
Грановский Александр Михайлович,"Фракция ""Блок Петра Порошенко""",1
Грынив Игорь Алексеевич,"Фракция ""Блок Петра Порошенко""",2
Гудзенко Виталий Иванович,"Фракция ""Блок Петра Порошенко""",3
Гузь Игорь Владимирович,"Фракция ""Народный фронт""",1
Гулак Александр Михайлович,"Фракция ""Радикальная Партия Олега Ляшко""",1
Гуляев Василий Александрович,Депутатская группа партии Возрождение,2
Гусак Владимир Георгиевич,"Фракция ""Оппозиционный блок""",3
Геллер Евгений Борисович,Депутатская группа партии Возрождение,3
Гиршфельд Анатолий Моисеевич,"Депутатская группа ""Воля народа""",3
Давыденко Валерий Николаевич,"Фракция ""Блок Петра Порошенко""",1
Данченко Александр Иванович,"Фракция ""Объединение Самопомощь""",2
Данилин Владислав Юрьевич,"Фракция ""Народный фронт""",1
Дейдей Евгений Сергеевич,"Фракция ""Народный фронт""",2
Демчак Руслан Евгеньевич,"Фракция ""Блок Петра Порошенко""",1
Денисенко Анатолий Петрович,Вне фракции,3
Денисенко Андрей Сергеевич,Вне фракции,3
Денисенко Вадим Игоревич,"Фракция ""Блок Петра Порошенко""",3
Деревянко Юрий Богданович,Вне фракции,2
Деркач Андрей Леонидович,Вне фракции,3
Дехтярчук Александр Владимирович,"Фракция ""Блок Петра Порошенко""",1
Джемилев Мустафа Абдулджемиль,"Фракция ""Блок Петра Порошенко""",1
Дзензерский Денис Викторович,"Фракция ""Народный фронт""",3
Дзюблик Павел Владимирович,"Фракция ""Народный фронт""",2
Дырив Анатолий Борисович,"Фракция ""Народный фронт""",1
Дмитренко Олег Николаевич,"Фракция ""Блок Петра Порошенко""",1
Добкин Дмитрий Маркович,"Фракция ""Оппозиционный блок""",3
Добкин Михаил Маркович,"Фракция ""Оппозиционный блок""",3
Добродомов Дмитрий Евгеньевич,Вне фракции,2
Довбенко Михаил Владимирович,"Фракция ""Блок Петра Порошенко""",1
Довгий Олесь Станиславович,"Депутатская группа ""Воля народа""",3
Долженков Александр Валерьевич,"Фракция ""Оппозиционный блок""",3
Домбровский Александр Георгиевич,"Фракция ""Блок Петра Порошенко""",1
Донец Татьяна Анатольевна,"Фракция ""Народный фронт""",3
Драюк Сергей Евсеевич,"Фракция ""Народный фронт""",1
Дроздик Александр Валерьевич,"Фракция ""Народный фронт""",1
Дубневич Богдан Васильевич,"Фракция ""Блок Петра Порошенко""",1
Дубневич Ярослав Васильевич,"Фракция ""Блок Петра Порошенко""",2
Дубиль Валерий Александрович,"Фракция ""ВО Батькивщина""",1
Дубинин Александр Иванович,Вне фракции,3
Дунаев Сергей Владимирович,"Фракция ""Оппозиционный блок""",3
Диденко Игорь Анатольевич,"Фракция ""Объединение Самопомощь""",1
Дидыч Валентин Владимирович,Вне фракции,3
Жеваго Константин Валентинович,Вне фракции,3
Жолобецкий Александр Александрович,"Фракция ""Блок Петра Порошенко""",2
Журжий Андрей Валерьевич,"Фракция ""Объединение Самопомощь""",1
Заболотный Григорий Михайлович,"Фракция ""Блок Петра Порошенко""",1
Загорий Глеб Владимирович,"Фракция ""Блок Петра Порошенко""",2
Залищук Светлана Петровна,"Фракция ""Блок Петра Порошенко""",3
Заружко Валерия Леонидовна,"Фракция ""Радикальная Партия Олега Ляшко""",1
Заставный Роман Иосифович,"Фракция ""Народный фронт""",1
Зварыч Роман Михайлович,"Фракция ""Блок Петра Порошенко""",1
Звягильский Ефим Леонидович,"Фракция ""Оппозиционный блок""",3
Зубач Любомир Львович,"Фракция ""Объединение Самопомощь""",1
Зубик Владимир Владимирович,Депутатская группа партии Возрождение,2
Кадыкало Николай Олегович,"Фракция ""Народный фронт""",1
Каплин Сергей Николаевич,"Фракция ""Блок Петра Порошенко""",3
Карпунцов Валерий Витальевич,"Фракция ""Блок Петра Порошенко""",1
Кацер-Бучковская Наталия Владимировна,"Фракция ""Народный фронт""",1
Кацуба Владимир Михайлович,Депутатская группа партии Возрождение,3
Кириленко Иван Григорьевич,"Фракция ""ВО Батькивщина""",3
Кириченко Алексей Николаевич,"Фракция ""Радикальная Партия Олега Ляшко""",1
Кишкар Павел Николаевич,"Фракция ""Блок Петра Порошенко""",2
Клюев Сергей Петрович,Вне фракции,3
Климов Леонид Михайлович,Депутатская группа партии Возрождение,2
Княжицкий Николай Леонидович,"Фракция ""Народный фронт""",1
Князевич Руслан Петрович,"Фракция ""Блок Петра Порошенко""",1
Кобцев Михаил Валентинович,"Фракция ""Блок Петра Порошенко""",1
Кодола Александр Михайлович,"Фракция ""Народный фронт""",1
Кожемякин Андрей Анатольевич,"Фракция ""ВО Батькивщина""",1
Козак Тарас Романович,"Фракция ""Оппозиционный блок""",3
Козаченко Леонид Петрович,"Фракция ""Блок Петра Порошенко""",1
Козырь Борис Юрьевич,"Фракция ""Блок Петра Порошенко""",2
Колганова Елена Валерьевна,"Фракция ""Народный фронт""",2
Колесников Дмитрий Валерьевич,"Фракция ""Оппозиционный блок""",3
Кондратюк Елена Константиновна,"Фракция ""ВО Батькивщина""",1
Кононенко Игорь Витальевич,"Фракция ""Блок Петра Порошенко""",1
Констанкевич Ирина Мирославовна,Вне фракции,3
Константиновский Вячеслав Леонидович,Вне фракции,2
Корнацкий Аркадий Алексеевич,"Фракция ""Блок Петра Порошенко""",1
Королевская Наталья Юрьевна,"Фракция ""Оппозиционный блок""",3
Король Виктор Николаевич,"Фракция ""Блок Петра Порошенко""",1
Корчик Виталий Андреевич,"Фракция ""Народный фронт""",1
Корчинская Оксана Анатольевна,"Фракция ""Радикальная Партия Олега Ляшко""",1
Костенко Павел Петрович,"Фракция ""Объединение Самопомощь""",1
Котвицкий Игорь Александрович,"Фракция ""Народный фронт""",1
Кошелева Алена Владимировна,"Фракция ""Радикальная Партия Олега Ляшко""",1
Кремень Тарас Дмитриевич,"Фракция ""Народный фронт""",1
Кривенко Вадим Валерьевич,"Фракция ""Народный фронт""",1
Кривенко Виктор Николаевич,"Фракция ""Блок Петра Порошенко""",1
Кривохатько Вадим Викторович,"Фракция ""Блок Петра Порошенко""",1
Кривошея Геннадий Григорьевич,"Фракция ""Народный фронт""",1
Крышин Олег Юрьевич,"Фракция ""Народный фронт""",1
Крулько Иван Иванович,"Фракция ""ВО Батькивщина""",1
Ксенжук Александр Степанович,"Фракция ""Народный фронт""",1
Кудлаенко Сергей Владимирович,"Фракция ""Блок Петра Порошенко""",3
Кужель Александра Владимировна,"Фракция ""ВО Батькивщина""",1
Кузьменко Анатолий Иванович,"Фракция ""Блок Петра Порошенко""",1
Кулинич Олег Иванович,Депутатская группа партии Возрождение,3
Куличенко Иван Иванович,"Фракция ""Блок Петра Порошенко""",1
Куницын Сергей Владимирович,"Фракция ""Блок Петра Порошенко""",2
Куприй Виталий Николаевич,Вне фракции,2
Куприенко Олег Васильевич,"Фракция ""Радикальная Партия Олега Ляшко""",1
Куренной Владимир Константинович,"Фракция ""Блок Петра Порошенко""",1
Курило Виталий Семенович,"Фракция ""Блок Петра Порошенко""",1
Курячий Максим Павлович,"Фракция ""Блок Петра Порошенко""",1
Кучер Николай Иванович,"Фракция ""Блок Петра Порошенко""",1
Кивалов Сергей Васильевич,"Фракция ""Оппозиционный блок""",3
Кираль Сергей Иванович,"Фракция ""Объединение Самопомощь""",1
Кирш Александр Викторович,"Фракция ""Народный фронт""",1
Киселев Андрей Николаевич,"Фракция ""Оппозиционный блок""",3
Киссе Антон Иванович,Депутатская группа партии Возрождение,3
Кит Андрей Богданович,"Фракция ""Блок Петра Порошенко""",2
Лабазюк Сергей Петрович,"Депутатская группа ""Воля народа""",3
Лаврик Николай Иванович,"Фракция ""Блок Петра Порошенко""",3
Лаврик Олег Васильевич,"Фракция ""Объединение Самопомощь""",1
Ланьо Михаил Иванович,Депутатская группа партии Возрождение,3
Лапин Игорь Александрович,"Фракция ""Народный фронт""",3
Ларин Сергей Николаевич,"Фракция ""Оппозиционный блок""",3
Левус Андрей Марьянович,"Фракция ""Народный фронт""",1
Левченко Юрий Владимирович,Вне фракции,2
Ледовских Елена Владимировна,"Фракция ""Народный фронт""",1
Ленский Алексей Алексеевич,"Фракция ""Радикальная Партия Олега Ляшко""",1
Лесюк Ярослав Васильевич,"Фракция ""Блок Петра Порошенко""",1
Лещенко Сергей Анатольевич,"Фракция ""Блок Петра Порошенко""",1
Литвин Владимир Михайлович,"Депутатская группа ""Воля народа""",3
Логвинский Георгий Владимирович,"Фракция ""Народный фронт""",1
Лозовой Андрей Сергеевич,"Фракция ""Радикальная Партия Олега Ляшко""",1
Лопушанский Андрей Ярославович,"Фракция ""Блок Петра Порошенко""",1
Лубинец Дмитрий Валерьевич,"Фракция ""Блок Петра Порошенко""",1
Лукьянчук Руслан Валерьевич,"Фракция ""Народный фронт""",1
Лунченко Валерий Валерьевич,"Фракция ""Народный фронт""",1
Луценко Игорь Викторович,"Фракция ""ВО Батькивщина""",2
Луценко Ирина Степановна,"Фракция ""Блок Петра Порошенко""",1
Левочкин Сергей Владимирович,"Фракция ""Оппозиционный блок""",3
Левочкина Юлия Владимировна,"Фракция ""Оппозиционный блок""",3
Люшняк Николай Владимирович,"Фракция ""Блок Петра Порошенко""",2
Ляшко Олег Валериевич,"Фракция ""Радикальная Партия Олега Ляшко""",1
Ливик Александр Петрович,"Фракция ""Блок Петра Порошенко""",1
Линько Дмитрий Владимирович,"Фракция ""Радикальная Партия Олега Ляшко""",1
Макарьян Давид Борисович,"Фракция ""Блок Петра Порошенко""",1
Македон Юрий Николаевич,"Фракция ""Блок Петра Порошенко""",1
Мамчур Юлий Валериевич,"Фракция ""Блок Петра Порошенко""",1
Маркевич Ярослав Владимирович,"Фракция ""Объединение Самопомощь""",2
Мартыняк Сергей Васильевич,"Депутатская группа ""Воля народа""",3
Мартовицкий Артур Владимирович,"Фракция ""Оппозиционный блок""",3
Марченко Александр Александрович,Вне фракции,2
Масорина Елена Сергеевна,"Фракция ""Народный фронт""",1
Матвийчук Эдуард Леонидович,Вне фракции,3
Матвиенко Анатолий Сергеевич,"Фракция ""Блок Петра Порошенко""",1
Матвиенков Сергей Анатольевич,"Фракция ""Оппозиционный блок""",3
Матейченко Константин Владимирович,"Фракция ""Народный фронт""",2
Маткивский Богдан Миронович,Вне фракции,1
Матузко Елена Александровна,"Фракция ""Блок Петра Порошенко""",1
Матиос Мария Васильевна,"Фракция ""Блок Петра Порошенко""",2
Мацола Роман Николаевич,"Фракция ""Блок Петра Порошенко""",1
Медуница Олег Вячеславович,"Фракция ""Народный фронт""",1
Мельник Сергей Иванович,"Фракция ""Блок Петра Порошенко""",1
Мельниченко Владимир Владимирович,"Фракция ""Блок Петра Порошенко""",1
Мельничук Иван Иванович,"Фракция ""Блок Петра Порошенко""",1
Мельничук Сергей Петрович,"Депутатская группа ""Воля народа""",3
Мепаришвили Хвича Нодарович,"Фракция ""Народный фронт""",1
Микитась Максим Викторович,Вне фракции,3
Мирный Иван Николаевич,"Фракция ""Оппозиционный блок""",3
Мисик Владимир Юрьевич,Депутатская группа партии Возрождение,3
Молоток Игорь Федорович,"Депутатская группа ""Воля народа""",1
Мороко Юрий Николаевич,"Фракция ""Оппозиционный блок""",3
Москаленко Ярослав Николаевич,"Депутатская группа ""Воля народа""",3
Мосийчук Игорь Владимирович,"Фракция ""Радикальная Партия Олега Ляшко""",1
Мураев Евгений Владимирович,"Фракция ""Оппозиционный блок""",3
Мусий Олег Степанович,Вне фракции,1
Мушак Алексей Петрович,"Фракция ""Блок Петра Порошенко""",1
Мирошниченко Юрий Романович,"Фракция ""Оппозиционный блок""",3
Мирошниченко Иван Владимирович,"Фракция ""Объединение Самопомощь""",2
Мищенко Сергей Григорьевич,Вне фракции,2
Найем Мустафа-Маси,Вне фракции,3
Негой Федор Федорович,"Фракция ""Блок Петра Порошенко""",3
Недава Олег Анатольевич,"Фракция ""Блок Петра Порошенко""",1
Немировский Андрей Валентинович,"Фракция ""Блок Петра Порошенко""",1
Немыря Григорий Михайлович,"Фракция ""ВО Батькивщина""",1
Нестеренко Вадим Григорьевич,"Фракция ""Блок Петра Порошенко""",3
Нечаев Александр Игоревич,"Фракция ""Оппозиционный блок""",3
Ничипоренко Валентин Николаевич,Депутатская группа партии Возрождение,3
Новак Наталия Васильевна,"Фракция ""Блок Петра Порошенко""",2
Новинский Вадим Владиславович,"Фракция ""Оппозиционный блок""",3
Нимченко Василий Иванович,"Фракция ""Оппозиционный блок""",3
Одарченко Юрий Витальевич,"Фракция ""ВО Батькивщина""",1
Омельянович Денис Сергеевич,"Фракция ""Оппозиционный блок""",3
Онищенко Александр Романович,"Депутатская группа ""Воля народа""",3
Онуфрик Богдан Семенович,"Фракция ""Блок Петра Порошенко""",1
Опанасенко Александр Валерьевич,"Фракция ""Объединение Самопомощь""",1
Остапчук Виктор Николаевич,Депутатская группа партии Возрождение,3
Острикова Татьяна Георгиевна,"Фракция ""Объединение Самопомощь""",1
Осуховский Олег Иванович,Вне фракции,2
Павелко Андрей Васильевич,"Фракция ""Блок Петра Порошенко""",1
Павленко Юрий Алексеевич,"Фракция ""Оппозиционный блок""",3
Павлов Константин Юрьевич,"Фракция ""Оппозиционный блок""",3
Паламарчук Николай Петрович,"Фракция ""Блок Петра Порошенко""",2
Палатный Артур Леонидович,"Фракция ""Блок Петра Порошенко""",3
Папиев Михаил Николаевич,"Фракция ""Оппозиционный блок""",3
Парасюк Владимир Зиновьевич,Вне фракции,3
Парубий Андрей Владимирович,Вне фракции,1
Пастух Тарас Тимофеевич,"Фракция ""Объединение Самопомощь""",1
Пашинский Сергей Владимирович,"Фракция ""Народный фронт""",1
Петренко Олег Николаевич,"Фракция ""Блок Петра Порошенко""",1
Петёвка Василий Васильевич,"Депутатская группа ""Воля народа""",3
Пинзеник Виктор Михайлович,"Фракция ""Блок Петра Порошенко""",3
Пинзеник Павел Васильевич,"Фракция ""Народный фронт""",2
Писаренко Валерий Владимирович,Депутатская группа партии Возрождение,3
Побер Игорь Николаевич,"Фракция ""Блок Петра Порошенко""",1
Побочих Михаил Александрович,"Фракция ""Народный фронт""",1
Подоляк Ирина Игоревна,"Фракция ""Объединение Самопомощь""",2
Поляков Максим Анатольевич,"Фракция ""Народный фронт""",1
Помазанов Андрей Витальевич,"Фракция ""Народный фронт""",1
Пономарев Александр Сергеевич,"Депутатская группа ""Воля народа""",1
Поплавский Михаил Михайлович,"Депутатская группа ""Воля народа""",3
Попов Игорь Владимирович,"Фракция ""Радикальная Партия Олега Ляшко""",1
Порошенко Алексей Петрович,"Фракция ""Блок Петра Порошенко""",1
Пресман Александр Семенович,Депутатская группа партии Возрождение,2
Присяжнюк Александр Анатольевич,"Фракция ""Народный фронт""",1
Продан Оксана Петровна,"Фракция ""Блок Петра Порошенко""",2
Пташник Виктория Юрьевна,Вне фракции,1
Пидберезняк Вадим Иванович,"Фракция ""Народный фронт""",1
Пидлисецкий Лев Теофилович,"Фракция ""Объединение Самопомощь""",1
Рабинович Вадим Зиновьевич,"Фракция ""Оппозиционный блок""",3
Развадовский Виктор Иосифович,Депутатская группа партии Возрождение,1
Ревега Александр Васильевич,"Фракция ""Блок Петра Порошенко""",1
Река Андрей Александрович,"Фракция ""Народный фронт""",1
Рыбак Иван Петрович,"Фракция ""Блок Петра Порошенко""",1
Рыбалка Сергей Викторович,"Фракция ""Радикальная Партия Олега Ляшко""",2
Рибчинский Евгений Юрьевич,Вне фракции,3
Рычкова Татьяна Борисовна,"Фракция ""Блок Петра Порошенко""",1
Розенблат Борислав Соломонович,"Фракция ""Блок Петра Порошенко""",1
Романова Анна Анатольевна,"Фракция ""Объединение Самопомощь""",1
Романовский Александр Владимирович,"Фракция ""Народный фронт""",1
Романюк Виктор Николаевич,"Фракция ""Народный фронт""",2
Романюк Роман Сергеевич,"Фракция ""Блок Петра Порошенко""",1
Рудик Сергей Ярославович,"Фракция ""Блок Петра Порошенко""",3
Рябчин Алексей Михайлович,"Фракция ""ВО Батькивщина""",1
Ризаненко Павел Александрович,"Фракция ""Блок Петра Порошенко""",1
Сабашук Петр Павлович,"Фракция ""Блок Петра Порошенко""",3
Савка Иван Иванович,"Фракция ""Народный фронт""",1
Саврасов Максим Витальевич,"Фракция ""Блок Петра Порошенко""",2
Савченко Надежда Викторовна,Вне фракции,3
Савчук Юрий Петрович,"Фракция ""Народный фронт""",3
Сажко Сергей Николаевич,"Фракция ""Оппозиционный блок""",3
Святаш Дмитрий Владимирович,Депутатская группа партии Возрождение,3
Севрюков Владислав Владимирович,"Фракция ""Блок Петра Порошенко""",1
Семенуха Роман Сергеевич,"Фракция ""Объединение Самопомощь""",1
Семенченко Семен Игоревич,"Фракция ""Объединение Самопомощь""",3
Сидорович Руслан Михайлович,"Фракция ""Объединение Самопомощь""",1
Сидорчук Вадим Васильевич,"Фракция ""Народный фронт""",1
Силантьев Денис Олегович,"Фракция ""Радикальная Партия Олега Ляшко""",1
Сыроед Оксана Ивановна,Вне фракции,1
Сысоенко Ирина Владимировна,"Фракция ""Объединение Самопомощь""",1
Скорик Николай Леонидович,"Фракция ""Оппозиционный блок""",3
Скрипник Алексей Алексеевич,"Фракция ""Объединение Самопомощь""",1
Скуратовский Сергей Иванович,"Фракция ""Радикальная Партия Олега Ляшко""",1
Соболев Егор Викторович,"Фракция ""Объединение Самопомощь""",1
Соболев Сергей Владиславович,"Фракция ""ВО Батькивщина""",3
Соловей Юрий Игоревич,"Фракция ""Блок Петра Порошенко""",1
Солод Юрий Васильевич,"Фракция ""Оппозиционный блок""",3
Сольвар Руслан Николаевич,"Фракция ""Блок Петра Порошенко""",3
Соляр Владимир Миронович,"Фракция ""Народный фронт""",1
Сотник Елена Сергеевна,"Фракция ""Объединение Самопомощь""",1
Сочка Александр Александрович,"Фракция ""Народный фронт""",1
Спорыш Иван Дмитриевич,"Фракция ""Блок Петра Порошенко""",1
Спиваковский Александр Владимирович,"Фракция ""Блок Петра Порошенко""",1
Сташук Виталий Филимонович,"Фракция ""Народный фронт""",1
Стеценко Дмитрий Александрович,"Фракция ""Народный фронт""",1
Сугоняко Александр Леонидович,"Фракция ""Блок Петра Порошенко""",1
Супруненко Александр Иванович,Вне фракции,2
Суслова Ирина Николаевна,"Фракция ""Блок Петра Порошенко""",2
Сюмар Виктория Петровна,"Фракция ""Народный фронт""",2
Тарасюк Борис Иванович,"Фракция ""ВО Батькивщина""",1
Тарута Сергей Алексеевич,Вне фракции,3
Тетерук Андрей Анатольевич,"Фракция ""Народный фронт""",1
Тимошенко Юлия Владимировна,"Фракция ""ВО Батькивщина""",1
Тимошенко Юрий Владимирович,"Фракция ""Народный фронт""",1
Тымчук Дмитрий Борисович,"Фракция ""Народный фронт""",1
Ткачук Геннадий Витальевич,"Фракция ""Блок Петра Порошенко""",1
Третьяков Александр Юрьевич,"Фракция ""Блок Петра Порошенко""",2
Тригубенко Сергей Николаевич,"Фракция ""Блок Петра Порошенко""",2
Тимиш Григорий Иванович,"Фракция ""Блок Петра Порошенко""",1
Унгурян Павел Якимович,"Фракция ""Народный фронт""",1
Урбанский Александр Игоревич,"Фракция ""Блок Петра Порошенко""",1
Усов Константин Глебович,"Фракция ""Блок Петра Порошенко""",2
Фаермарк Сергей Александрович,"Фракция ""Народный фронт""",1
Федорук Николай Трофимович,"Фракция ""Народный фронт""",1
Фельдман Александр Борисович,"Депутатская группа ""Воля народа""",3
Фролов Николай Александрович,"Фракция ""Блок Петра Порошенко""",1
Фриз Ирина Васильевна,"Фракция ""Блок Петра Порошенко""",1
Фурсин Иван Геннадьевич,"Депутатская группа ""Воля народа""",3
Хлань Сергей Владимирович,"Фракция ""Блок Петра Порошенко""",1
Хмель Михаил Михайлович,"Фракция ""Народный фронт""",1
Хомутынник Виталий Юрьевич,Депутатская группа партии Возрождение,2
Чекита Геннадий Леонидович,"Фракция ""Блок Петра Порошенко""",1
Чепинога Виталий Михайлович,"Фракция ""Блок Петра Порошенко""",3
Червакова Ольга Валерьевна,"Фракция ""Блок Петра Порошенко""",1
Черненко Александр Николаевич,"Фракция ""Блок Петра Порошенко""",2
Чижмарь Юрий Васильевич,"Фракция ""Радикальная Партия Олега Ляшко""",1
Черновол Татьяна Николаевна,"Фракция ""Народный фронт""",3
Чубаров Рефат Абдурахманович,"Фракция ""Блок Петра Порошенко""",1
Чумак Виктор Васильевич,Вне фракции,3
Шаповалов Юрий Анатольевич,Вне фракции,2
Шахов Сергей Владимирович,"Депутатская группа ""Воля народа""",3
Шверк Григорий Аронович,"Фракция ""Блок Петра Порошенко""",1
Шевченко Виктор Леонидович,Вне фракции,2
Шевченко Александр Леонидович,Вне фракции,2
Шенцев Дмитрий Алексеевич,"Фракция ""Оппозиционный блок""",3
Шинькович Андрей Васильевич,"Фракция ""Блок Петра Порошенко""",3
Шипко Андрей Федорович,Депутатская группа партии Возрождение,3
Шкварилюк Владимир Васильевич,"Фракция ""Народный фронт""",1
Шкрум Алёна Ивановна,"Фракция ""ВО Батькивщина""",1
Шкиря Игорь Николаевич,Депутатская группа партии Возрождение,3
Шпенов Дмитрий Юрьевич,"Фракция ""Оппозиционный блок""",3
Шурма Игорь Михайлович,"Фракция ""Оппозиционный блок""",3
Шуфрич Нестор Иванович,"Фракция ""Оппозиционный блок""",3
Шухевич Юрий-Богдан Романович,"Фракция ""Радикальная Партия Олега Ляшко""",3
Южанина Нина Петровна,"Фракция ""Блок Петра Порошенко""",1
Юрык Тарас Зиновьевич,"Фракция ""Блок Петра Порошенко""",1
