fio,fr_8,fraction_7,fraction_8,sing_mand_or_party_list,Elected_detailes,num_convoc_includ,region_linked,aglo_clust_ward_3,aglo_clust_complete_5,tsne_comp_1,tsne_comp_2,mainExecutives,rubric,type,initiators_sort,N_initiators,mp_ru_sanct_nov_2018,mp_dict_law_jan_2014,mp_age,mp_committee,Session,meta_type_name_eng,law_circ,centr_sig,frac_ses_unity,frac_ses_unity_2,weighted_degree_protiv,weighted_closeness_centralitye_protiv,weighted_degree_abstain,weighted_closeness_centralitye_abstain,weighted_degree_no_vote,weighted_closeness_centralitye_no_vote,weighted_degree_absent,weighted_closeness_centralitye_absent,mp_law_same_com,coauth_louvain_clust,coauth_degree,coauth_weighted_degree,coauth_weighted_closeness_centralitye,coauth_weighted_betweenness_centralitye,coauth_betweenness_centralitye,ammendments_authors_sorted,olig_clan
Евлахов Анатолий Сергеевич,"Фракция ""Блок Петра Порошенко""",1.515600875333087,1.492047913321103,1.836228297499215,1.59641821674001,1.6172917489782122,1.356430282086812,1.3717797344288192,1.7652768490991195,1.7457666469562143,1.7180416982330906,1.7440631148908936,1.7095242422178556,1.7100386714777536,1.6773253207512948,1.5612647258937762,1.747805084831372,1.5684745034339176,-0.624837751680543,0.8185513440765451,0.8204571006553182,-0.4003957412612236,-1.0674943606420824,1.6154480673430165,1.412146859078452,0.6265927257471022,0.7705699973132059,0.9369389645773024,-0.5964579450432901,-0.0299406410697391,1.6386643958608331,1.669987153571873,-0.6273946439121131,-1.1062687480544977,-0.1135746346702692,0.4673807519623387,0.7251578588497275,0.6693945960743458,-0.4276680019242974,0.1197537682053184,0.003462942197461,1.6340178994896914,1.7348118034851367
Евтушок Сергей Николаевич,"Фракция ""ВО Батькивщина""",1.515603310074582,1.488694408939888,1.8362293326923995,1.4246309682853724,1.3862755361580887,1.5691490145542255,1.4163866101730265,1.765291449942047,1.7457701822959777,1.7180428759053894,1.7440659421729967,1.661274347617067,1.7100423175976205,1.6773263891255938,1.5612664526269593,1.7478170078133677,1.5684815172575106,-0.624837751680543,-0.1734304420522961,-0.4712944468224417,-0.4003957412612236,-0.3469904167484861,0.9521063458128076,0.604343703545786,0.7110786062015,0.4666808698664862,0.2046137940998927,-0.5964579450432901,0.7406523893710091,0.6868784838288238,0.405044424463383,1.4839633336029228,1.1537595942916317,2.0546559576963115,1.035102668678317,-0.5588551809351449,-0.3482741007287414,-0.9050806975670496,-0.6512013350203122,0.0020877703043061,1.6340178994896914,1.7348118034851367
Едаков Ярослав Юрьевич,"Фракция ""Народный фронт""",1.5156007185041185,1.3299725795622426,1.5720164279395934,1.3408847869305658,1.6172981352189888,1.356434499146643,1.371783646112218,1.7652438483092832,1.7457598118458184,1.718039876824791,1.744057722720446,1.718736195789427,1.7100333892799724,1.677324146508628,1.5612642436557385,1.7477816550497969,1.7883353548382357,-0.624837751680543,0.3880352372258467,1.4299671795301323,-0.4003957412612236,-0.4499195515904284,0.0110866943397208,-0.2196155150975332,-0.3432206830023275,-0.3680947193511741,-0.5701644280555351,-0.5964579450432901,1.1215933300083285,1.89590383154516,1.9735734085579109,-0.6255559624024771,-1.137863015482147,0.0756381979902908,0.4995680438289253,0.8268888651235596,0.735956352899851,-0.945678151738798,-0.7010622623501744,0.0006328793931524,1.6340178994896914,1.7348118034851367
Еднак Остап Владимирович,Вне фракции,1.515598126959706,1.9798943949036665,1.572013246128639,1.5353680374386307,1.5090661778510848,1.3564321635865355,1.3717813311743836,1.765196252597857,1.7457494416840718,1.7180368777692456,1.744049503449488,1.8161171880312232,1.710024461186857,1.6773219039065124,1.5612620347019053,1.7477463056286446,1.5556288218122027,-0.624837751680543,1.69227384347743,0.8727333008141707,-0.4003957412612236,-1.0674943606420824,0.6744284158699296,0.5720315773244794,0.6685207775567965,0.0282399988810687,0.1738833727312559,-0.5964579450432901,-0.9495246917768176,0.0952277817548718,-0.1009326671800129,0.4794916248887678,0.9095072829558224,-0.2705902106782796,0.2257686927254707,1.0247095283538574,0.8715975810252697,-1.0742102223322294,-1.5012078869258585,0.0020300642285974,1.6340178994896914,1.7348118034851367
Еленский Виктор Евгеньевич,"Фракция ""Народный фронт""",1.5156055879152592,1.329967481177181,1.5720211891848186,1.3408781209524885,1.6172878345559396,1.3564429331005114,1.371791469332879,1.7652730486515549,1.7457668824204733,1.718042232155091,1.7440633772163925,1.73164557548594,1.7100406813774642,1.6773262832437774,1.5612676970851256,1.7478054998472394,1.555645406051788,-0.624837751680543,0.9176703597964734,1.3106912636619632,-0.4003957412612236,1.4028048755645333,-0.2357381322761707,-0.5185026826446196,-0.5222585790775972,-0.3647487116676755,-0.5210478959351187,-0.5964579450432901,1.0705916096392512,1.89590383154516,1.9735734085579109,-0.4275299638146783,-0.2463136311495694,-0.390056707212137,0.279070471927376,0.0393819063873772,0.1464830212412305,-0.5917894263152526,0.0282473156459376,0.0007251112010762,1.6340178994896914,1.7348118034851367
Емец Леонид Александрович,"Фракция ""Народный фронт""",1.4484572668400086,1.329962382949667,1.8362240469597568,1.74950186265579,1.618756916820015,1.356440597515748,1.371789154375161,1.7652254570440515,1.745756512448806,1.71803923311476,1.7440551580645585,1.7799768615939406,1.7100317534171805,1.6773240406494376,1.5612654881350885,1.7477701526407805,1.5556390262161384,0.1712657692859319,1.542212849700562,0.6967533087334198,-0.4003957412612236,-0.96456522580014,1.0292391041302738,0.5962656719904594,0.3994795997093973,1.552320872493606,0.9722032904645912,-0.5964579450432901,0.1979368589788525,1.89590383154516,1.9735734085579109,-0.1627598264270921,1.1944438140482996,-1.0763848242213128,-2.052374041696293,0.5791240477224484,0.5580438049135703,-0.6509431896051555,0.0167945212597263,0.0035291621114367,1.6340178994896914,1.7348118034851367
Ефимов Максим Викторович,"Фракция ""Блок Петра Порошенко""",1.5156029963724238,1.49205248687023,1.8362314030395075,2.3510090050337205,2.136342392685837,1.569141819517191,1.371799292358696,1.7653022417305109,1.7457739526018652,1.7180445874460408,1.7440690314624967,1.6873764671841258,1.7100479731082012,1.6773284199506284,1.561271150460147,1.74782934013652,1.568472277561817,-0.624837751680543,-1.1829700967107626,-0.7181643242373267,-0.4003957412612236,-0.4499195515904284,1.3686232407271248,1.9049067839533784,1.4548573465887726,0.6739801222465611,0.764063176807965,-0.5964579450432901,-0.6349466401184388,1.6386643958608331,1.669987153571873,-0.6101110377215345,-1.1670735399533856,-1.0025814611169428,-1.994825929669023,1.3870124087536304,1.118171929483219,-0.60117470076067,0.1477606501423773,0.0031383132840612,1.6340178994896914,1.7348118034851367
Иванчук Андрей Владимирович,"Фракция ""Народный фронт""",1.4485070548171983,1.3299881857959048,1.5720180073827774,1.340871455235111,1.3962493533465443,1.356451366833328,1.3718032037985404,1.7653168355470927,1.7457774875450978,1.71804576507676,1.744071858491863,1.7840301407327608,1.7100516188360453,1.6773294882934422,1.5612728771272713,1.7478412585909988,1.683285214805177,0.9673692902524068,0.3254102490609319,0.8034513034325079,-0.4003957412612236,-0.3469904167484861,-0.0197664089872655,-0.0257427577696934,0.0310589107751269,-0.683905623144687,-0.500317473421175,-0.5964579450432901,0.209484575903217,1.89590383154516,1.9735734085579109,-0.7231899505641495,-1.693823150726398,-0.9171076714725604,-1.158165255228666,1.5308178409861497,1.215928102710324,-0.8851937432552726,-0.52339931236773,0.0007640391193339,1.6340178994896914,1.7348118034851367
Ивахив Степан Петрович,"Депутатская группа ""Воля народа""",1.8582551774234863,2.4007387436048355,1.8362324381934323,1.7844908281452323,2.0354918291462334,2.277090237411717,2.0316886765834665,1.765331427548862,1.745781022390027,1.718046942697642,1.744074685458775,1.6314810694328403,1.710055264472211,1.6773305566291816,1.5612746037808043,1.7478531759189164,1.7883183443222066,0.1712657692859319,-1.132080387599533,-0.8924039261420535,-0.4003957412612236,0.2705843923031678,-0.6522550271904878,-0.8093118186363795,-0.9550920816619192,-0.3423255678187287,-0.463073771817233,-0.5964579450432901,-0.3024108105544146,-0.6764905252981086,-0.7081051771520884,-0.4815872001979771,0.1107883504865945,-0.5893171556216429,0.0926213653290295,0.748591038284941,0.7462794688023664,0.5913959076228993,0.6966352301984367,0.0008339759366215,1.6340178994896914,1.7348118034851367
Ивченко Вадим Евгеньевич,"Фракция ""ВО Батькивщина""",1.5156054310420708,1.4886638311393037,1.572020387970121,1.616447684722346,1.6172775342366523,1.56914726624783,1.4163739003470086,1.7653460177361568,1.7457845571366566,1.718048120308687,1.7440775123632346,1.7187062134685611,1.7100589100167018,1.6773316249578467,1.5612763304207464,1.7478650921204324,1.7883229118409396,-0.624837751680543,-0.1996600695314483,-0.468136634101135,-0.4003957412612236,-0.96456522580014,1.800566687304935,2.3088083617197115,1.3343724264276948,1.4695721778664996,2.123577285623888,-0.5964579450432901,0.5930488600176863,0.6868784838288238,0.405044424463383,1.0853371823138347,1.096829934916001,0.7473264899906934,0.865028689794515,-0.1914649849816752,-0.0916897082004637,0.0066471203645969,0.4800976446818299,0.0056912305756687,1.6340178994896914,1.7348118034851367
Ильенко Андрей Юрьевич,Вне фракции,1.8591884107814665,1.97992044924446,1.836233473334271,1.749622230173101,1.6187857275305233,1.5691400714148074,2.327428995721924,1.7652984363859712,1.7457741876401656,1.7180451213063928,1.7440692935091997,1.7800277552673265,1.7100499823884876,1.677329382382946,1.5612741214801995,1.7478297504498064,1.6661598136761908,0.1712657692859319,-0.301239341627303,-0.7347570702533832,-0.4003957412612236,-1.7879983045356789,-0.4208567522380894,-0.2842397675401465,0.0951705728076874,-0.5234920311192769,-0.5768444834954627,-0.5964579450432901,-0.7622739864353711,0.0952277817548718,-0.1009326671800129,3.667949230748581,1.317752823657595,0.4182239143512539,0.820647016815089,-1.030275164137673,-0.7405169651339153,0.6861645762428474,0.7585977370491553,0.0006203354784325,1.6340178994896914,1.7348118034851367
