fio,fr_8,fraction_7,fraction_8,sing_mand_or_party_list,Elected_detailes,num_convoc_includ,region_linked,aglo_clust_ward_3,aglo_clust_complete_5,tsne_comp_1,tsne_comp_2,mainExecutives,rubric,type,initiators_sort,N_initiators,mp_ru_sanct_nov_2018,mp_dict_law_jan_2014,mp_age,mp_committee,Session,meta_type_name_eng,law_circ,centr_sig,frac_ses_unity,frac_ses_unity_2,weighted_degree_protiv,weighted_closeness_centralitye_protiv,weighted_degree_abstain,weighted_closeness_centralitye_abstain,weighted_degree_no_vote,weighted_closeness_centralitye_no_vote,weighted_degree_absent,weighted_closeness_centralitye_absent,mp_law_same_com,coauth_louvain_clust,coauth_degree,coauth_weighted_degree,coauth_weighted_closeness_centralitye,coauth_weighted_betweenness_centralitye,coauth_betweenness_centralitye,ammendments_authors_sorted,olig_clan
Евлахов Анатолий Сергеевич,"Фракция ""Блок Петра Порошенко""",1.5157173494573493,1.4918881385779446,1.8361706274898852,1.596593582123642,1.6172152831291755,1.356331215679698,1.3717085834292018,1.7616467909265614,1.7451492687888224,1.7179523665505518,1.7435872708387783,1.7092741914433875,1.70985586031365,1.6773681867383865,1.5611196076824592,1.6227490907739697,1.5683035336630298,-0.624837751680543,0.8185513440765451,0.8204571006553182,-0.4003957412612236,-1.0674943606420824,1.6154480673430165,1.412146859078452,0.6265927257471022,0.7705699973132059,0.9369389645773024,-0.5964579450432901,-0.0299406410697391,1.6386643958608331,1.669987153571873,-0.6273946439121131,-1.1062687480544977,-0.1135746346702692,0.4673807519623387,0.7251578588497275,0.6693945960743458,-0.4276680019242974,0.1197537682053184,0.003462942197461,1.6340178994896914,1.7348118034851367
Евтушок Сергей Николаевич,"Фракция ""ВО Батькивщина""",1.5157147637728985,1.4887850539459675,1.8361653552917296,1.4248191086541058,1.3865594417382932,1.5692916185279742,1.4159255023831785,1.7616017816610534,1.7451390273133998,1.717949378394231,1.7435791326394698,1.6606844360070123,1.7098470281847953,1.6773659502402627,1.5611174047945522,1.6227444171296042,1.5682943197728294,-0.624837751680543,-0.1734304420522961,-0.4712944468224417,-0.4003957412612236,-0.3469904167484861,0.9521063458128076,0.604343703545786,0.7110786062015,0.4666808698664862,0.2046137940998927,-0.5964579450432901,0.7406523893710091,0.6868784838288238,0.405044424463383,1.4839633336029228,1.1537595942916317,2.0546559576963115,1.035102668678317,-0.5588551809351449,-0.3482741007287414,-0.9050806975670496,-0.6512013350203122,0.0020877703043061,1.6340178994896914,1.7348118034851367
Едаков Ярослав Юрьевич,"Фракция ""Народный фронт""",1.515712178114375,1.330119684184648,1.5720530076086043,1.341106512226048,1.6172050093924188,1.3563288866109453,1.3717062747232558,1.7615567777148464,1.745128786119495,1.717946390262784,1.7435709946182965,1.718647802807555,1.709838196275719,1.6773637137569075,1.5611152019239416,1.622739743555388,1.788239638159847,-0.624837751680543,0.3880352372258467,1.4299671795301323,-0.4003957412612236,-0.4499195515904284,0.0110866943397208,-0.2196155150975332,-0.3432206830023275,-0.3680947193511741,-0.5701644280555351,-0.5964579450432901,1.1215933300083285,1.89590383154516,1.9735734085579109,-0.6255559624024771,-1.137863015482147,0.0756381979902908,0.4995680438289253,0.8268888651235596,0.735956352899851,-0.945678151738798,-0.7010622623501744,0.0006328793931524,1.6340178994896914,1.7348118034851367
Еднак Остап Владимирович,Вне фракции,1.5157095924817794,1.9801993719558812,1.572049833539194,1.535903926550476,1.5095012837280326,1.356326557572639,1.3717039660459889,1.7615117790869976,1.7451185452070963,1.7179434021562103,1.7435628567752524,1.816672301638981,1.709829364586413,1.677361477288321,1.5611129990706274,1.62273507005132,1.555730447248521,-0.624837751680543,1.69227384347743,0.8727333008141707,-0.4003957412612236,-1.0674943606420824,0.6744284158699296,0.5720315773244794,0.6685207775567965,0.0282399988810687,0.1738833727312559,-0.5964579450432901,-0.9495246917768176,0.0952277817548718,-0.1009326671800129,0.4794916248887678,0.9095072829558224,-0.2705902106782796,0.2257686927254707,1.0247095283538574,0.8715975810252697,-1.0742102223322294,-1.5012078869258585,0.0020300642285974,1.6340178994896914,1.7348118034851367
Еленский Виктор Евгеньевич,"Фракция ""Народный фронт""",1.5157170342498436,1.3301145962620151,1.572057756559848,1.341099858566464,1.6171947359976755,1.3563373008874038,1.3717140793718727,1.7615849541665198,1.745135791828979,1.7179487380780225,1.7435766074143166,1.7314239210535571,1.7098454164761228,1.677365844262342,1.561118647900929,1.6227454059982616,1.555746988916269,-0.624837751680543,0.9176703597964734,1.3106912636619632,-0.4003957412612236,1.4028048755645333,-0.2357381322761707,-0.5185026826446196,-0.5222585790775972,-0.3647487116676755,-0.5210478959351187,-0.5964579450432901,1.0705916096392512,1.89590383154516,1.9735734085579109,-0.4275299638146783,-0.2463136311495694,-0.390056707212137,0.279070471927376,0.0393819063873772,0.1464830212412305,-0.5917894263152526,0.0282473156459376,0.0007251112010762,1.6340178994896914,1.7348118034851367
Емец Леонид Александрович,"Фракция ""Народный фронт""",1.448361886980421,1.330109508496214,1.8361600831600575,1.7498391923630063,1.6187933116095867,1.3563349718245468,1.3717117706748094,1.7615399591910874,1.745125551101789,1.7179457499865498,1.7435684696879676,1.780609435698404,1.7098365849167458,1.6773636078014895,1.5611164450513824,1.622740732521845,1.5557406238463023,0.1712657692859319,1.542212849700562,0.6967533087334198,-0.4003957412612236,-0.96456522580014,1.0292391041302738,0.5962656719904594,0.3994795997093973,1.552320872493606,0.9722032904645912,-0.5964579450432901,0.1979368589788525,1.89590383154516,1.9735734085579109,-0.1627598264270921,1.1944438140482996,-1.0763848242213128,-2.052374041696293,0.5791240477224484,0.5580438049135703,-0.6509431896051555,0.0167945212597263,0.0035291621114367,1.6340178994896914,1.7348118034851367
Ефимов Максим Викторович,"Фракция ""Блок Петра Порошенко""",1.515714448618828,1.491883720725235,1.836167421276329,2.350756824016264,2.136239766333869,1.5692844396573604,1.3717218838265937,1.761613123959848,1.7451427971533382,1.7179510858541744,1.7435822199646331,1.6877824677653663,1.7098526363172095,1.6773679747396395,1.5611220938238035,1.622751068271158,1.5682851061813934,-0.624837751680543,-1.1829700967107626,-0.7181643242373267,-0.4003957412612236,-0.4499195515904284,1.3686232407271248,1.9049067839533784,1.4548573465887726,0.6739801222465611,0.764063176807965,-0.5964579450432901,-0.6349466401184388,1.6386643958608331,1.669987153571873,-0.6101110377215345,-1.1670735399533856,-1.0025814611169428,-1.994825929669023,1.3870124087536304,1.118171929483219,-0.60117470076067,0.1477606501423773,0.0031383132840612,1.6340178994896914,1.7348118034851367
Иванчук Андрей Владимирович,"Фракция ""Народный фронт""",1.448411553704054,1.3301352446523595,1.572054582499311,1.341093205166449,1.396508370217524,1.3563457149438771,1.371719575109736,1.7615681326363626,1.745132556611351,1.7179480977778032,1.7435740823549768,1.784257263733194,1.7098438048877598,1.677365738286521,1.5611198909780248,1.6227463948223932,1.6832912797929116,0.9673692902524068,0.3254102490609319,0.8034513034325079,-0.4003957412612236,-0.3469904167484861,-0.0197664089872655,-0.0257427577696934,0.0310589107751269,-0.683905623144687,-0.500317473421175,-0.5964579450432901,0.209484575903217,1.89590383154516,1.9735734085579109,-0.7231899505641495,-1.693823150726398,-0.9171076714725604,-1.158165255228666,1.5308178409861497,1.215928102710324,-0.8851937432552726,-0.52339931236773,0.0007640391193339,1.6340178994896914,1.7348118034851367
Ивахив Степан Петрович,"Депутатская группа ""Воля народа""",1.8579849195300904,2.4000849815707297,1.836162149198113,1.784030291879268,2.0354032324683846,2.2771023837391664,2.0320122696830305,1.761523146628173,1.7451223163508327,1.7179451097263043,1.743565944923431,1.630864734901896,1.7098349736780547,1.6773635018481703,1.561117688149542,1.6227417214437718,1.788222672175384,0.1712657692859319,-1.132080387599533,-0.8924039261420535,-0.4003957412612236,0.2705843923031678,-0.6522550271904878,-0.8093118186363795,-0.9550920816619192,-0.3423255678187287,-0.463073771817233,-0.5964579450432901,-0.3024108105544146,-0.6764905252981086,-0.7081051771520884,-0.4815872001979771,0.1107883504865945,-0.5893171556216429,0.0926213653290295,0.748591038284941,0.7462794688023664,0.5913959076228993,0.6966352301984367,0.0008339759366215,1.6340178994896914,1.7348118034851367
Ивченко Вадим Евгеньевич,"Фракция ""ВО Батькивщина""",1.515711863013739,1.488754546827384,1.5720514084739965,1.6167444080825633,1.617184462944928,1.5692772609677983,1.4159128383298831,1.7614781659343384,1.7451120763717718,1.7179421216996775,1.74355780766999,1.7186178990208203,1.709826142688086,1.677361265424588,1.5611154853383544,1.622737048135292,1.7882057069212531,-0.624837751680543,-0.1996600695314483,-0.468136634101135,-0.4003957412612236,-0.96456522580014,1.800566687304935,2.3088083617197115,1.3343724264276948,1.4695721778664996,2.123577285623888,-0.5964579450432901,0.5930488600176863,0.6868784838288238,0.405044424463383,1.0853371823138347,1.096829934916001,0.7473264899906934,0.865028689794515,-0.1914649849816752,-0.0916897082004637,0.0066471203645969,0.4800976446818299,0.0056912305756687,1.6340178994896914,1.7348118034851367
