fio,fr_8,fraction_7,fraction_8,sing_mand_or_party_list,Elected_detailes,num_convoc_includ,region_linked,aglo_clust_ward_3,aglo_clust_complete_5,tsne_comp_1,tsne_comp_2,mainExecutives,rubric,type,initiators_sort,N_initiators,mp_ru_sanct_nov_2018,mp_dict_law_jan_2014,mp_age,mp_committee,Session,meta_type_name_eng,law_circ,centr_sig,frac_ses_unity,frac_ses_unity_2,weighted_degree_protiv,weighted_closeness_centralitye_protiv,weighted_degree_abstain,weighted_closeness_centralitye_abstain,weighted_degree_no_vote,weighted_closeness_centralitye_no_vote,weighted_degree_absent,weighted_closeness_centralitye_absent,mp_law_same_com,coauth_louvain_clust,coauth_degree,coauth_weighted_degree,coauth_weighted_closeness_centralitye,coauth_weighted_betweenness_centralitye,coauth_betweenness_centralitye,ammendments_authors_sorted,olig_clan
Евлахов Анатолий Сергеевич,"Фракция ""Блок Петра Порошенко""",1.5155800747588537,1.491669510394499,1.835927790507808,1.5962653956510175,1.616911195977928,1.3561480409005462,1.3715180570415462,1.7555249855436086,1.7437937325672088,1.717588019964719,1.742513784962397,1.7090522247912858,1.7088128493361927,1.677135649305845,1.560874796007122,1.62239431243795,1.5680969208852455,-0.624837751680543,0.8185513440765451,0.8204571006553182,-0.4003957412612236,-1.0674943606420824,1.6154480673430165,1.412146859078452,0.6265927257471022,0.7705699973132059,0.9369389645773024,-0.5964579450432901,-0.0299406410697391,1.6386643958608331,1.669987153571873,-0.6273946439121131,-1.1062687480544977,-0.1135746346702692,0.4673807519623387,0.7251578588497275,0.6693945960743458,-0.4276680019242974,0.1197537682053184,0.003462942197461,1.6340178994896914,1.7348118034851367
Евтушок Сергей Николаевич,"Фракция ""ВО Батькивщина""",1.5155774929858203,1.4884249952788695,1.8359225264126016,1.4250374842354396,1.3866118164324752,1.5692241130148783,1.4156501946071938,1.7554814268820034,1.7437835688125107,1.7175850385737126,1.7425056959601315,1.6601723925733023,1.7088040763570562,1.6771334166936538,1.560872596825839,1.6223896562375129,1.5680877218289453,-0.624837751680543,-0.1734304420522961,-0.4712944468224417,-0.4003957412612236,-0.3469904167484861,0.9521063458128076,0.604343703545786,0.7110786062015,0.4666808698664862,0.2046137940998927,-0.5964579450432901,0.7406523893710091,0.6868784838288238,0.405044424463383,1.4839633336029228,1.1537595942916317,2.0546559576963115,1.035102668678317,-0.5588551809351449,-0.3482741007287414,-0.9050806975670496,-0.6512013350203122,0.0020877703043061,1.6340178994896914,1.7348118034851367
Едаков Ярослав Юрьевич,"Фракция ""Народный фронт""",1.5155749112386434,1.3300929044112548,1.5718329371921924,1.3410903261171725,1.616900940106203,1.356145715931614,1.3715157523961463,1.7554378732427272,1.7437734053355791,1.7175820572074798,1.7424976071341085,1.71849986905234,1.7087953035950834,1.677131184096185,1.560870397661802,1.6223850001067424,1.7880522249772846,-0.624837751680543,0.3880352372258467,1.4299671795301323,-0.4003957412612236,-0.4499195515904284,0.0110866943397208,-0.2196155150975332,-0.3432206830023275,-0.3680947193511741,-0.5701644280555351,-0.5964579450432901,1.1215933300083285,1.89590383154516,1.9735734085579109,-0.6255559624024771,-1.137863015482147,0.0756381979902908,0.4995680438289253,0.8268888651235596,0.735956352899851,-0.945678151738798,-0.7010622623501744,0.0006328793931524,1.6340178994896914,1.7348118034851367
Еднак Остап Владимирович,Вне фракции,1.5155723295173225,1.9799696009890413,1.5718297682999818,1.535937087444705,1.5094063151684614,1.356143390993037,1.3715134477793391,1.755394324624912,1.7437632421364024,1.7175790758660203,1.7424895184843223,1.8160377241074468,1.708786531050266,1.6771289515134384,1.5608681985150108,1.6223803440456368,1.5555980433231718,-0.624837751680543,1.69227384347743,0.8727333008141707,-0.4003957412612236,-1.0674943606420824,0.6744284158699296,0.5720315773244794,0.6685207775567965,0.0282399988810687,0.1738833727312559,-0.5964579450432901,-0.9495246917768176,0.0952277817548718,-0.1009326671800129,0.4794916248887678,0.9095072829558224,-0.2705902106782796,0.2257686927254707,1.0247095283538574,0.8715975810252697,-1.0742102223322294,-1.5012078869258585,0.0020300642285974,1.6340178994896914,1.7348118034851367
Еленский Виктор Евгеньевич,"Фракция ""Народный фронт""",1.5155797626939422,1.3300878232446949,1.5718376826612377,1.3410836810689333,1.6168906845754716,1.3561541221082107,1.371523549677235,1.7554660680924803,1.7437804075927572,1.7175844039239705,1.7425032174524857,1.7312244611341672,1.7088025118105443,1.6771333131636037,1.560873841261869,1.6223906499387937,1.5556145658804434,-0.624837751680543,0.9176703597964734,1.3106912636619632,-0.4003957412612236,1.4028048755645333,-0.2357381322761707,-0.5185026826446196,-0.5222585790775972,-0.3647487116676755,-0.5210478959351187,-0.5964579450432901,1.0705916096392512,1.89590383154516,1.9735734085579109,-0.4275299638146783,-0.2463136311495694,-0.390056707212137,0.279070471927376,0.0393819063873772,0.1464830212412305,-0.5917894263152526,0.0282473156459376,0.0007251112010762,1.6340178994896914,1.7348118034851367
Емец Леонид Александрович,"Фракция ""Народный фронт""",1.448090583115456,1.3300827422345625,1.8359172623836943,1.749671559342893,1.6186036314554633,1.3561517971451125,1.3715212450406518,1.7554225228698108,1.7437702445756418,1.7175814225975343,1.7424951289178117,1.7807998565840302,1.7087937393936603,1.6771310805885595,1.560871642118821,1.622385993905085,1.5556082102614746,0.1712657692859319,1.542212849700562,0.6967533087334198,-0.4003957412612236,-0.96456522580014,1.0292391041302738,0.5962656719904594,0.3994795997093973,1.552320872493606,0.9722032904645912,-0.5964579450432901,0.1979368589788525,1.89590383154516,1.9735734085579109,-0.1627598264270921,1.1944438140482996,-1.0763848242213128,-2.052374041696293,0.5791240477224484,0.5580438049135703,-0.6509431896051555,0.0167945212597263,0.0035291621114367,1.6340178994896914,1.7348118034851367
Ефимов Максим Викторович,"Фракция ""Блок Петра Порошенко""",1.5155771809741834,1.4916651000113774,1.835924592879524,2.350423412910997,2.1358917858616846,1.569216943945445,1.3715313467648529,1.7554942564419798,1.7437874094672252,1.7175867506014622,1.742508827526399,1.6874236814946202,1.708809719669163,1.6771354422029434,1.5608772848079278,1.622396299601783,1.5680785230705565,-0.624837751680543,-1.1829700967107626,-0.7181643242373267,-0.4003957412612236,-0.4499195515904284,1.3686232407271248,1.9049067839533784,1.4548573465887726,0.6739801222465611,0.764063176807965,-0.5964579450432901,-0.6349466401184388,1.6386643958608331,1.669987153571873,-0.6101110377215345,-1.1670735399533856,-1.0025814611169428,-1.994825929669023,1.3870124087536304,1.118171929483219,-0.60117470076067,0.1477606501423773,0.0031383132840612,1.6340178994896914,1.7348118034851367
Иванчук Андрей Владимирович,"Фракция ""Народный фронт""",1.4481401965878629,1.3301084467147175,1.571834513777851,1.3410770362796038,1.396429609262827,1.3561625280653078,1.371529042108495,1.755450714614048,1.7437772466321662,1.7175837692900489,1.7425007391068352,1.7838249317593975,1.7088009473802102,1.6771332096356015,1.560875085668623,1.6223916435954724,1.6830271165328077,0.9673692902524068,0.3254102490609319,0.8034513034325079,-0.4003957412612236,-0.3469904167484861,-0.0197664089872655,-0.0257427577696934,0.0310589107751269,-0.683905623144687,-0.500317473421175,-0.5964579450432901,0.209484575903217,1.89590383154516,1.9735734085579109,-0.7231899505641495,-1.693823150726398,-0.9171076714725604,-1.158165255228666,1.5308178409861497,1.215928102710324,-0.8851937432552726,-0.52339931236773,0.0007640391193339,1.6340178994896914,1.7348118034851367
Ивахив Степан Петрович,"Депутатская группа ""Воля народа""",1.8576944599140328,2.3993783576413623,1.8359193289039009,1.7830529417273369,2.034611156636337,2.276681873018538,2.032012576154215,1.7554648080491209,1.74378074751692,1.7175849426216818,1.742503544109677,1.6303659105464992,1.7088045512396768,1.6771342741485933,1.5608768074232715,1.6223944683772702,1.7880352841753373,0.1712657692859319,-1.132080387599533,-0.8924039261420535,-0.4003957412612236,0.2705843923031678,-0.6522550271904878,-0.8093118186363795,-0.9550920816619192,-0.3423255678187287,-0.463073771817233,-0.5964579450432901,-0.3024108105544146,-0.6764905252981086,-0.7081051771520884,-0.4815872001979771,0.1107883504865945,-0.5893171556216429,0.0926213653290295,0.748591038284941,0.7462794688023664,0.5913959076228993,0.6966352301984367,0.0008339759366215,1.6340178994896914,1.7348118034851367
Ивченко Вадим Евгеньевич,"Фракция ""ВО Батькивщина""",1.51557459928028,1.4883945486390942,1.5718368864773398,1.6164155004963952,1.6168804293857155,1.5692097750565903,1.415637554715617,1.7554212729365728,1.7437705850505998,1.7175819613425525,1.7424954559238828,1.7184700086970472,1.7087957792318151,1.6771320415998243,1.5608746083030838,1.6223898124543183,1.7880183441017292,-0.624837751680543,-0.1996600695314483,-0.468136634101135,-0.4003957412612236,-0.96456522580014,1.800566687304935,2.3088083617197115,1.3343724264276948,1.4695721778664996,2.123577285623888,-0.5964579450432901,0.5930488600176863,0.6868784838288238,0.405044424463383,1.0853371823138347,1.096829934916001,0.7473264899906934,0.865028689794515,-0.1914649849816752,-0.0916897082004637,0.0066471203645969,0.4800976446818299,0.0056912305756687,1.6340178994896914,1.7348118034851367
